description,class,grouped_class
يتضمن تجديد رخصتين إستثنائيتين للبحث عن المحروقات المسمى (جمعة) و (لغواط) الممنوحة للشركة الفرنسية للبترول (جزائر).,المناجم,الموارد الطبيعية والطاقة
"يتضمن تجديد الرخصة الخصوصية للبحث عن الوقود المسماة ""حاسي إمولاي"" الممنوحة للشركات فرانكاريب، أورافريب، كاوباريكس، موبيل الصحراء، موبيل بروديوسينغ الصحراء إنكوربوريشن وأميف.",المناجم,الموارد الطبيعية والطاقة
يتعلق بالمساحات المعلنة حرة بعد تجديد ثلاثة رخص إستثنائية للبحث عن المحروقات بالصحراء.,المناجم,الموارد الطبيعية والطاقة
يتضمن تجديد رخصة إستثنائية للبحث عن المحروقات المسمى (بريان) الممنوحة للشركة الوطنية للبحث وإستغلال البترول في الجزائر ورأي يتعلق بالمساحات المعلنة حرة بعد تجديد ما سمي بالرخصة.,المناجم,الموارد الطبيعية والطاقة
يتضمن تفويض الإمضاء إلى مدير ديوان الوزير وكذا مدير الموظفين والعتاد.,المناجم,الموارد الطبيعية والطاقة
"يسمح بموجبه تطبيق الاتفاقية المؤرخة في أول ذي القعدة عام 1384 الموافق 3 مارس سنة 1965 والمتضمنة منح مؤسسة ""كهرباء وغاز الجزائر"" الامتياز لبناء واستغلال شبكة التغذية العامة الموجودة أو التي ستوجد في مجموع البلاد.",المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم صناعة المواد المتفجرة.,المناجم,الموارد الطبيعية والطاقة
يتضمن إرجاء تاريخ إنتهاء رخصة العرق العنقر المقدم من قبل الشركة الفرنسية للبترول (الجزائر).,المناجم,الموارد الطبيعية والطاقة
يتضمن قبول رفض شركة البحث عن البترول واستغلاله بالصحراء (CREPS) للرخصة الخاصة للبحث عن المحروقات المدعو (أزال- ماطي).,المناجم,الموارد الطبيعية والطاقة
يتضمن قبول الرفض الذي أبدته الشركة الوطنية للبترول لآكتان (ش.و.ب.آ) بشأن الرخصة الاستثنائية للبحث عن المحروقات المسمى (بلاد سمش).,المناجم,الموارد الطبيعية والطاقة
يتضمن تجديد الرخصة الاستثنائية للبحث عن المحروقات والمسماة (العزيبة) التي تملكها الشركة الوطنية للبحث عن البترول واستغلاله بالجزائر (ش.و.ريبال).,المناجم,الموارد الطبيعية والطاقة
يتضمن تجديد الرخص الاستثنائية للبحث عن المحروقات والمسماة إيساوان - تاجنتورت - زرزايتين) التي تملكها شركة البحث عن البترول واستغلاله بالصحراء (كريبس).,المناجم,الموارد الطبيعية والطاقة
يتضمن قبول الرفض الذي أبدته شركة البحث عن البترول واستغلاله لمنطقة الالزاس بالنسبة لرخصة (قورية موسى).,المناجم,الموارد الطبيعية والطاقة
يتضمن تأجيل إنتهاء رخصة (برج نيلي لحمرة) لاستغلال البترول (سافريب).,المناجم,الموارد الطبيعية والطاقة
يتضمن تجديد الرخصة الاستثنائية للبحث عن المحروقات المسماة (وادي محيقن) التي تملكها الشركة الفرنسية للبترول بالجزائر (ش.و.ب - الجزائر).,المناجم,الموارد الطبيعية والطاقة
يتضمن الموافقة على سلم المرتبات الجديد الخاص بكهرباء وغاز الجزائر.,المناجم,الموارد الطبيعية والطاقة
يعدل القرار المؤرخ في 20 نوفمبر سنة 1957 المتضمن القانون الأساسي لمستخدمي مصلحة الصناعات التقليدية,المناجم,الموارد الطبيعية والطاقة
يتضمن توظيف أعوان تقنيين في أدوات القياس,المناجم,الموارد الطبيعية والطاقة
يتعلق بشروط التفويض بالأعمال التقنية الخاصة بسلك الراقنين على الآلة الكاتبة التابعين لوزارة التصنيع والطاقة,المناجم,الموارد الطبيعية والطاقة
يتضمن إنشاء ديوان وطني للملكية الصناعية.,المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم وزارة التصنيع والطاقة.,المناجم,الموارد الطبيعية والطاقة
"تدارك العقوبات الجزائية لقمع مخالفات القانون رقم 60-1375 المؤرخ في 21 ديسمبر سنة 1960 والمتعلق بصناعة, إقامة, وضع رهن البيع وبيع أجهزة ذات الإستعمال الكهربائي",المناجم,الموارد الطبيعية والطاقة
يحدد تشكيلة اللجنة المكلفة بتقويم المراجع المهنية للمترشحين لمنصب عون تقني للصناعة الحرفية,المناجم,الموارد الطبيعية والطاقة
يتعلق بإحداث المعهد الوطني للإنتاج والتنمية الصناعية.,المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على الاتفاق الخاص بالبحث عن الوقود وإستغلاله في الجزائر وعلى البروتوكول المتعلق بأعمال البحث عن الوقود وإنتاجه في الجزائر من طرف شركة ""جيتي بتروليوم كومباني"".",المناجم,الموارد الطبيعية والطاقة
تتعلق بإستغلال مستودعات المواد المتفجرة والمتفجرات.,المناجم,الموارد الطبيعية والطاقة
يتعلق بأعمال التنقيب والبحث عن المحروقات وإستغلالها ونقلها بالأنابيب.,المناجم,الموارد الطبيعية والطاقة
يتضمن إنشاء لجان للموظفين بالمعهد الوطني للمحروقات والكيمياء,المناجم,الموارد الطبيعية والطاقة
يعدل القرار الوزاري المشترك المؤرخ في 20 سبتمبر سنة 1983 والمتضمن شروط تهيئة التجهيزات الخاصة بغاز البترول المميع واستغلالها.,المناجم,الموارد الطبيعية والطاقة
يتضمن قائمة المصالح والمؤسسات والهيئات العمومية التابعة لوزارة الشؤون الدينية الملزمة بالتجهيز بوسائل إستعجالية للتزود بالكهرباء.,المناجم,الموارد الطبيعية والطاقة
يحدد قائمة المصالح والمؤسسات والهيئات العمومية التابعة لوزارة العدل الملزمة بالتجهيز بوسائل إستعجالية للتزود بالكهرباء.,المناجم,الموارد الطبيعية والطاقة
يتضمن قائمة المصاح والمؤسسات والهيئات العمومية التابعة لوزارة الفلاحة الملزمة بالتجهيز بوسائل إستعجالية للتزود بالكهرباء.,المناجم,الموارد الطبيعية والطاقة
يتضمن قائمة المصالح والمؤسسات والهيئات العمومية التابعة لوزارة البريد والمواصلات الملزمة بالتجهيز بوسائل إستعجالية للتزود بالكهرباء.,المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على إتفاق البحث عن الوقود السائل وإستغلاله في الجزائر، المبرم بالجزائر العاصمة في 23 أكتوبر سنة 1989 بين المؤسسة الوطنية ""سوناطراك"" وشركة ""أناداركو ألجيريا كوربوريشن""، وعلى البروتوكول المتعلق بأنشطة البحث عن الوقود السائل وإستغلاله التي تقوم بها شركة ""أناداركو ألجيريا كوربوريشن"" بالإشتراك مع المؤسسة الوطنية ""سوناطراك""، المبرم بين الدولة وشركة ""أناداركو ألجيريا كوربوريشن"" في 23 أكتوبر سنة 1989 بالجزائر العاصمة.",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة الوطنية ""سوناطراك"" رخصة للبحث عن المحروقات تسمى رخصة ""غورد يعقوب"".",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة الوطنية ""سوناطراك"" رخصة للبحث عن المحروقات تسمى رخصة ""زمول الأكبر"".",المناجم,الموارد الطبيعية والطاقة
يحدد أسعار بيع بعض المنتوجات البترولية.,المناجم,الموارد الطبيعية والطاقة
"يتعلق بمنح رخصة لاستغلال ""سباخ الملح في بطيوة"" (سبخة أرزيو).",المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن الرخام في المكان الذي يسمى الضاية (عين الدفلى).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال ملح شط مروان (بسكرة)،,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم للرمل الصواني في ناحية جبل القلعة (جيجل).,المناجم,الموارد الطبيعية والطاقة
"يتعلق بمنح رخصة لإستغلال ""سباخ الملح"" في سيدي بوزيان (غليزان).",المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخـصة لإستغلال منجم الخث (كيسلغور) في سيق (معسكر).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم البريت في بوقايد (تيسمسيلت).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم البريت في عين ميمون (خنشلة).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الدولوميت في جبل تليوات (أم البواقي).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الصلصال الأبيض (الكاولان) في جبل دباغ (قالمة).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الرمل في سيدي بوعلي (الشلف).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الصلصال الأبيض (الكاولان) في تمازيرت (جيجل).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الحث الصواني في كاف حجيرات (جيجل).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال مقلع الجزع والحجر الجيري في بوحنيفية (معسكر).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال مقلع الرخام في كريستيل (وهران).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال مقلع الجزع والحجر الجيري في تاقبالت (تلمسان).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الصلصال البنتونيتي في مغنية (تلمسان).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الرصاص والزنك في العابد (تلمسان).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال منجم الرصاص والزنك في خرزة يوسف (سطيف)،,المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على عقد البحث عن الوقود السائل واستغلاله في الجزائر، المبرم في 8 نوفمبر سنة 1989 بمدينة الجزائر، بين المؤسسة الوطنية ""سوناطراك"" والشركات الآتية: الشركة الفرنسية للبترول (الجزائر) وربصول للتنقيب المغفلة، وكوفبيك ألجيريا المحدودة، الخاص بمحيط العقرب الغربي، وعلى البروتوكول المتعلق بأعمال البحث عن الوقود السائل واستغلاله في الجزائر، التي تقوم بها الشركات الآتية: طوطال - الشركة الفرنسية للبترول، والشركة الفرنسية للبترول (الجزائر) وربصول، وكوفبيك، بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" في محيط العقرب الغربي، المبرم في 8 نوفمبر سنة 1989 بمدينة الجزائر، بين الدولة والشركات الآتية : طوطال - الشركة الفرنسية للبترول، والشركة الفرنسية للبترول (الجزائر) المغفلة، وربصول للتنقيب المغفلة، وشركة كويت فورين بتروليوم إيكسبلوريشن وكوفبيك (ألجيريا) المحدودة.",المناجم,الموارد الطبيعية والطاقة
